VitiLevu,Malaita,EspiritoSanto,GrandeTerre,Guam,Tarawa,Pohnpei,Saipan,Majuro,Koror,Tuvalu,Nauru
29.05559129,29.05559129,29.05559129,29.05559129,29.05559129,29.05559129,29.05559129,29.05559129,29.05559129,29.05559129,29.05559129,29.05559129
29.0447551,29.0447551,29.0447551,29.0447551,29.0447551,29.0447551,29.0447551,29.0447551,29.0447551,29.0447551,29.0447551,29.0447551
29.02623184,29.02623184,29.02623184,29.02623184,29.02623184,29.02623184,29.02623184,29.02623184,29.02623184,29.02623184,29.02623184,29.02623184
29.03361408,29.03361408,29.03361408,29.03361408,29.03361408,29.03361408,29.03361408,29.03361408,29.03361408,29.03361408,29.03361408,29.03361408
29.03902817,29.03902817,29.03902817,29.03902817,29.03902817,29.03902817,29.03902817,29.03902817,29.03902817,29.03902817,29.03902817,29.03902817
29.02328168,29.02328168,29.02328168,29.02328168,29.02328168,29.02328168,29.02328168,29.02328168,29.02328168,29.02328168,29.02328168,29.02328168
29.02692148,29.02692148,29.02692148,29.02692148,29.02692148,29.02692148,29.02692148,29.02692148,29.02692148,29.02692148,29.02692148,29.02692148
29.02172563,29.02172563,29.02172563,29.02172563,29.02172563,29.02172563,29.02172563,29.02172563,29.02172563,29.02172563,29.02172563,29.02172563
29.00861227,29.00861227,29.00861227,29.00861227,29.00861227,29.00861227,29.00861227,29.00861227,29.00861227,29.00861227,29.00861227,29.00861227
28.96464194,28.96464194,28.96464194,28.96464194,28.96464194,28.96464194,28.96464194,28.96464194,28.96464194,28.96464194,28.96464194,28.96464194
